时间,成交量,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,换手率,成交额,市盈率,市净率,市销率,市现率,市值,资金流向
2020-02-25,2814268,5.4298,5.585,5.3933,5.512,0.0365,0.67,0.75,17060975.0,11.0804,1.1959,2.4765,14.35,2272491508.64,
2020-02-26,1559655,5.5302,5.6032,5.5211,5.5485,0.0365,0.66,0.41,9494193.0,11.1538,1.2039,2.4929,14.4451,2287541121.28,
2020-02-27,3035924,5.4755,5.4846,5.3386,5.3933,-0.1552,-2.8,0.81,17997723.0,10.8419,1.1702,2.4232,14.0412,2223580267.56,
2020-03-01,2694852,5.4024,5.5485,5.3933,5.5393,0.146,2.71,0.72,16211748.0,11.1354,1.2019,2.4888,14.4213,2283778718.12,
2020-03-02,3380492,5.6032,5.6215,5.5211,5.5485,0.0092,0.17,0.9,20630712.0,11.1538,1.2039,2.4929,14.4451,2287541121.28,
2020-03-03,2807682,5.5485,5.6215,5.512,5.6032,0.0547,0.99,0.75,17106405.0,11.2638,1.2157,2.5175,14.5876,2310115540.24,
2020-03-04,6164982,5.6397,5.8131,5.5758,5.731,0.1278,2.28,1.64,38459422.0,11.5207,1.2435,2.5749,14.9202,2362789184.48,
2020-03-05,3529004,5.6853,5.731,5.6215,5.7127,-0.0183,-0.32,0.94,21967254.0,11.484,1.2395,2.5667,14.8727,2355264378.16,
2020-03-08,3725500,5.658,5.6671,5.585,5.5941,-0.1186,-2.08,0.99,22965795.0,11.2455,1.2138,2.5134,14.5639,2306353137.08,
2020-03-09,3989520,5.5485,5.7127,5.5211,5.6945,0.1004,1.79,1.06,24604989.0,11.4473,1.2355,2.5585,14.8252,2347739571.84,
2020-03-10,4320423,5.7401,5.7766,5.6762,5.6945,0.0,0.0,1.15,27053760.0,11.4473,1.2355,2.5585,14.8252,2347739571.84,
2020-03-11,2821126,5.6488,5.658,5.5485,5.5576,-0.1369,-2.4,0.75,17273127.0,11.1721,1.2058,2.497,14.4688,2291303524.44,
2020-03-12,4666491,5.3477,5.5302,5.3112,5.4846,-0.073,-1.31,1.24,27764528.0,11.0254,1.19,2.4642,14.2788,2261204299.16,
