时间,成交量,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,换手率,成交额,市盈率,市净率,市销率,市现率,市值,资金流向
1690819200000,2271831,9.2983,9.4439,9.2303,9.2497,-0.068,-0.73,0.6,21822138.0,27.6758,1.5694,15.9199,44.0495,3585570211.48,
1690905600000,1796520,9.24,9.3759,9.24,9.3468,0.0971,1.05,0.48,17240529.0,27.9662,1.5858,16.0869,44.5117,3623194243.08,
1690992000000,1608277,9.2789,9.3759,9.2109,9.308,-0.0388,-0.42,0.43,15371334.0,27.85,1.5793,16.0201,44.3268,3608144630.44,
1691078400000,1770025,9.2886,9.3177,9.1624,9.2012,-0.1068,-1.15,0.47,16808622.0,27.5306,1.5611,15.8363,43.8184,3566758195.68,
1691337600000,1557101,9.1818,9.2206,9.075,9.1139,-0.0873,-0.95,0.41,14628564.0,27.2692,1.5463,15.686,43.4024,3532896567.24,
1691424000000,924797,9.1527,9.1818,9.0459,9.0653,-0.0486,-0.53,0.25,8654176.0,27.124,1.5381,15.6025,43.1713,3514084551.44,
1691510400000,1214183,9.0653,9.0847,8.9391,8.978,-0.0873,-0.96,0.32,11264289.0,26.8627,1.5233,15.4521,42.7553,3480222923.0,
1691596800000,850692,8.978,8.9974,8.9003,8.9683,-0.0097,-0.11,0.23,7847416.0,26.8336,1.5216,15.4354,42.7091,3476460519.84,
1691683200000,1502800,8.9683,8.978,8.8324,8.8615,-0.1068,-1.19,0.4,13767134.0,42.6871,1.4923,15.4484,37.0834,3435074085.08,
1691942400000,1151410,8.8518,8.978,8.7644,8.9683,0.1068,1.21,0.31,10545454.0,43.2014,1.5103,15.6345,37.5302,3476460519.84,
1692028800000,1586719,8.9683,9.1721,8.9197,9.0556,0.0873,0.97,0.42,14847817.0,43.6222,1.525,15.7868,37.8957,3510322148.28,
1692115200000,1045391,9.0168,9.1041,8.8712,8.9488,-0.1068,-1.18,0.28,9636916.0,43.1079,1.507,15.6006,37.4489,3468935713.52,
1692201600000,978491,8.9586,8.9683,8.7936,8.8712,-0.0776,-0.87,0.26,8929687.0,42.7338,1.494,15.4653,37.124,3438836488.24,
1692288000000,1691770,8.9197,8.9197,8.6577,8.7062,-0.165,-1.86,0.45,15332427.0,41.939,1.4662,15.1776,36.4335,3374875634.52,
1692547200000,1657613,8.6674,8.8033,8.6383,8.6383,-0.0679,-0.78,0.44,14862798.0,41.6117,1.4547,15.0592,36.1492,3348538812.4,
1692633600000,1396940,8.7256,8.7256,8.4441,8.58,-0.0583,-0.67,0.37,12311497.0,41.3312,1.4449,14.9577,35.9055,3325964393.44,
1692720000000,1149282,8.5994,8.6577,8.3762,8.5315,-0.0485,-0.57,0.31,10137523.0,41.0974,1.4367,14.8731,35.7024,3307152377.64,
1692806400000,1358275,8.5121,8.6383,8.3471,8.3762,-0.1553,-1.82,0.36,11787388.0,40.3493,1.4106,14.6023,35.0525,3246953927.08,
1692892800000,1303155,8.3471,8.4636,8.2403,8.2403,-0.1359,-1.62,0.35,11182415.0,39.6948,1.3877,14.3655,34.4839,3194280282.84,
1693152000000,1749349,8.5897,8.6188,8.2986,8.3665,0.1262,1.53,0.46,15239633.0,40.3026,1.409,14.5854,35.0119,3243191523.92,
1693238400000,1759851,8.3374,8.483,8.3083,8.4636,0.0971,1.16,0.47,15253904.0,40.7701,1.4253,14.7546,35.4181,3280815555.52,
1693324800000,2012212,8.483,8.5509,8.3956,8.415,-0.0486,-0.57,0.53,17558360.0,40.5364,1.4171,14.67,35.215,3262003539.72,
1693411200000,3235903,8.4247,8.4344,8.1336,8.153,-0.262,-3.11,0.86,27378848.0,39.274,1.373,14.2132,34.1183,3160418654.4,
1693497600000,4043403,8.153,8.58,8.153,8.3956,0.2426,2.98,1.07,34927137.0,40.4429,1.4139,14.6362,35.1338,3254478733.4,
1693756800000,4407020,8.4927,8.7838,8.4247,8.5994,0.2038,2.43,1.17,39047708.0,41.4247,1.4482,14.9915,35.9867,3333489199.76,
1693843200000,7158031,8.5509,8.8324,8.4344,8.8324,0.233,2.71,1.9,63970248.0,42.5468,1.4874,15.3976,36.9615,3423786875.6,
1693929600000,6080533,8.7159,8.8518,8.5315,8.5606,-0.2718,-3.08,1.62,54220710.0,41.2377,1.4416,14.9238,35.8243,3318439587.12,
1694016000000,4067060,8.4733,8.7159,8.4733,8.6383,0.0777,0.91,1.08,36135481.0,41.6117,1.4547,15.0592,36.1492,3348538812.4,
1694102400000,2951586,8.5994,8.5994,8.3859,8.4636,-0.1747,-2.02,0.78,25801925.0,40.7701,1.4253,14.7546,35.4181,3280815555.52,
1694361600000,2175333,8.415,8.5121,8.3956,8.4733,0.0097,0.11,0.58,18992066.0,40.8169,1.4269,14.7715,35.4587,3284577958.68,
1694448000000,3613107,8.4538,8.5994,8.3083,8.318,-0.1553,-1.83,0.96,31288856.0,40.0688,1.4008,14.5008,34.8088,3224379508.12,
1694534400000,2161224,8.318,8.3956,8.2112,8.2791,-0.0389,-0.47,0.57,18465539.0,39.8818,1.3942,14.4331,34.6464,3209329895.48,
1694620800000,1828363,8.2791,8.3568,8.1724,8.318,0.0389,0.47,0.49,15531756.0,40.0688,1.4008,14.5008,34.8088,3224379508.12,
1694707200000,1756301,8.3568,8.4636,8.2888,8.4538,0.1358,1.63,0.47,15178582.0,40.7234,1.4237,14.7377,35.3775,3277053152.36,
1694966400000,3043857,8.3956,8.648,8.3665,8.6091,0.1553,1.84,0.81,26827347.0,41.4715,1.4498,15.0084,36.0273,3337251602.92,
1695052800000,2808780,8.6091,8.6674,8.4441,8.4733,-0.1358,-1.58,0.75,24747444.0,40.8169,1.4269,14.7715,35.4587,3284577958.68,
1695139200000,2262514,8.3762,8.5024,8.3083,8.3277,-0.1456,-1.72,0.6,19523353.0,40.1156,1.4024,14.5177,34.8494,3228141911.28,
1695225600000,1640976,8.318,8.3568,8.2015,8.2209,-0.1068,-1.28,0.44,13949414.0,39.6013,1.3844,14.3316,34.4027,3186755476.52,
1695312000000,1746757,8.2888,8.2888,8.1336,8.2112,-0.0097,-0.12,0.46,14735186.0,39.5545,1.3828,14.3147,34.362,3182993073.36,
1695571200000,1492238,8.153,8.2015,8.0947,8.1918,-0.0194,-0.24,0.4,12531346.0,39.461,1.3795,14.2808,34.2808,3175468267.04,
1695657600000,1216603,8.1821,8.1821,8.0656,8.0656,-0.1262,-1.54,0.32,10162604.0,38.8532,1.3583,14.0609,33.7528,3126557025.96,
1695744000000,1170745,8.0947,8.153,7.988,8.1141,0.0485,0.6,0.31,9761644.0,39.087,1.3665,14.1455,33.9559,3145369041.76,
1695830400000,1846689,8.1044,8.2112,8.1044,8.1821,0.068,0.84,0.49,15537760.0,39.414,1.377,14.26392752731729,34.2401932747889,3171705864.0,
1696780800000,2290274,8.1724,8.1918,7.8618,7.9006,-0.2815,-3.44,0.61,18801328.0,38.0584,1.3305,13.7732,33.0623,3062596172.24,
1696867200000,1201635,7.9006,8.0074,7.8812,7.9588,0.0582,0.74,0.32,9841178.0,38.3389,1.3403,13.8748,33.306,3085170591.2,
1696953600000,1203245,8.0074,8.0074,7.8327,7.8618,-0.097,-1.22,0.32,9764271.0,37.8713,1.324,13.7056,32.8998,3047546559.6,
1697040000000,1560190,7.8521,7.988,7.8521,7.9686,0.1068,1.36,0.41,12757713.0,38.3856,1.3419,13.8917,33.3466,3088932994.36,
1697126400000,1346506,7.9297,7.9297,7.8036,7.823,-0.1456,-1.83,0.36,10866147.0,37.6843,1.3174,13.6379,32.7374,3032496946.96,
1697385600000,1006417,7.8133,7.8812,7.755,7.8327,0.0097,0.12,0.27,8097814.0,37.7311,1.3191,13.6548,32.778,3036259350.12,
1697472000000,1015722,7.8327,7.8521,7.7647,7.8327,0.0,0.0,0.27,8174370.0,37.7311,1.3191,13.6548,32.778,3036259350.12,
1697558400000,1410073,7.8424,7.8521,7.6483,7.658,-0.1747,-2.23,0.37,11195302.0,36.8895,1.2896,13.3502,32.0469,2968536093.24,
1697644800000,1212872,7.6094,7.7356,7.5609,7.5803,-0.0777,-1.01,0.32,9551428.0,36.5155,1.2766,13.2149,31.7219,2938436867.96,
1697731200000,1122338,7.5803,7.6191,7.5221,7.5512,-0.0291,-0.38,0.3,8752243.0,39.872,1.2729,13.6731,35.4491,2927149658.48,
1697990400000,1811589,7.5706,7.6094,7.2794,7.3086,-0.2426,-3.21,0.48,13792998.0,38.5908,1.232,13.2338,34.31,2833089579.48,
1698076800000,2130888,7.2794,7.6191,7.2794,7.5609,0.2523,3.45,0.57,16520283.0,39.9233,1.2745,13.6907,35.4947,2930912061.64,
1698163200000,2159124,7.6094,7.6677,7.5803,7.6094,0.0485,0.64,0.57,16958496.0,40.1795,1.2827,13.7786,35.7225,2949724077.44,
1698249600000,1426144,7.6094,7.658,7.5318,7.6288,0.0194,0.25,0.38,11155859.0,40.282,1.2859,13.8137,35.8136,2957248883.76,
1698336000000,1851342,7.6288,7.8424,7.6094,7.8036,0.1748,2.29,0.49,14796761.0,41.2045,1.3154,14.1301,36.6338,3024972140.64,
1698595200000,2431767,7.755,7.9297,7.755,7.8909,0.0873,1.12,0.65,19718831.0,41.6658,1.3301,14.2883,37.0439,3058833769.08,
1698681600000,1865790,7.8618,7.9783,7.8618,7.9394,0.0485,0.61,0.5,15237061.0,41.922,1.3383,14.3761,37.2717,3077645784.88,
