时间,成交量,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,换手率,成交额,市盈率,市净率,市销率,市现率,市值,资金流向
2020-02-27,3942189499,8744.0319,8904.1115,8562.0465,8566.48,-414.3,-4.61,0.0,0.0,,,,,,
2020-02-28,4541958237,8269.7395,8591.82,8264.1588,8567.37,0.89,0.01,0.0,0.0,,,,,,
2020-03-02,3679950234,8667.144,8952.81,8543.35,8952.16,384.8,4.49,0.0,0.0,,,,,,
2020-03-03,3729846175,8965.1042,9070.3221,8602.89,8684.09,-268.07,-2.99,0.0,0.0,,,,,,
2020-03-04,3219675624,8834.0964,9019.96,8757.6563,9018.09,334.0,3.85,0.0,0.0,,,,,,
2020-03-05,3376732385,8790.0911,8921.08,8677.3856,8738.6,-279.49,-3.1,0.0,0.0,,,,,,
2020-03-06,3751031723,8469.0154,8612.36,8375.13,8575.62,-162.98,-1.87,0.0,0.0,,,,,,
2020-03-09,3901120550,7957.9293,8243.3117,7943.16,7950.68,-624.94,-7.29,0.0,0.0,,,,,,
2020-03-10,3876274193,8219.7608,8347.4,7930.43,8344.25,393.58,4.95,0.0,0.0,,,,,,
2020-03-11,3767054015,8136.2473,8181.36,7850.9451,7952.05,-392.2,-4.7,0.0,0.0,,,,,,
2020-03-12,4316577557,7398.5798,7712.3308,7194.67,7201.8,-750.25,-9.43,0.0,0.0,,,,,,
2020-03-13,4037407036,7610.3868,7875.93,7219.09,7874.88,673.07,9.35,0.0,0.0,,,,,,
2020-03-16,3984634638,7392.7283,7422.2,6882.86,6904.59,-970.28,-12.32,0.0,0.0,,,,,,
2020-03-17,4252123155,7071.9985,7406.2304,6828.91,7334.78,430.19,6.23,0.0,0.0,,,,,,
2020-03-18,4185476611,6902.316,7182.83,6686.3562,6989.84,-344.94,-4.7,0.0,0.0,,,,,,
2020-03-19,4072546615,6996.4538,7341.38,6858.38,7150.58,160.73,2.3,0.0,0.0,,,,,,
2020-03-20,4596553425,7248.0663,7354.4438,6854.67,6879.52,-271.06,-3.79,0.0,0.0,,,,,,
2020-03-23,3667036647,6847.2833,6984.9409,6631.42,6860.67,-18.84,-0.27,0.0,0.0,,,,,,
2020-03-24,3843891495,7196.1483,7418.3744,7169.86,7417.86,557.18,8.12,0.0,0.0,,,,,,
2020-03-25,4078312710,7421.3609,7671.21,7276.3972,7384.3,-33.56,-0.45,0.0,0.0,,,,,,
2020-03-26,3464861572,7462.2058,7809.8249,7462.2058,7797.54,413.24,5.6,0.0,0.0,,,,,,
2020-03-27,3487834320,7554.2503,7716.2433,7491.13,7502.38,-295.16,-3.79,0.0,0.0,,,,,,
2020-03-30,3438389834,7583.4621,7784.35,7539.9659,7774.15,271.77,3.62,0.0,0.0,,,,,,
2020-03-31,3609190526,7740.0585,7880.3134,7642.86,7700.1,-74.05,-0.95,0.0,0.0,,,,,,
2020-04-01,3246887921,7459.5012,7566.3727,7301.9784,7360.58,-339.52,-4.41,0.0,0.0,,,,,,
2020-04-02,3204570526,7317.4541,7501.7,7307.9464,7487.31,126.73,1.72,0.0,0.0,,,,,,
2020-04-03,2905853984,7477.269,7518.72,7288.11,7373.08,-114.23,-1.53,0.0,0.0,,,,,,
2020-04-06,3426699427,7660.174,7938.33,7617.7863,7913.24,540.15,7.33,0.0,0.0,,,,,,
2020-04-07,3593589004,8129.9864,8146.4331,7881.2168,7887.26,-25.98,-0.33,0.0,0.0,,,,,,
2020-04-08,3102379664,7975.7186,8114.4339,7901.9359,8090.9,203.64,2.58,0.0,0.0,,,,,,
2020-04-09,3506531634,8169.0125,8227.91,8072.316,8153.58,62.67,0.77,0.0,0.0,,,,,,
2020-04-13,2765890014,8127.6888,8200.4412,8035.9465,8192.42,38.85,0.48,0.0,0.0,,,,,,
2020-04-14,3319972030,8353.2142,8531.11,8338.0852,8515.74,323.32,3.95,0.0,0.0,,,,,,
2020-04-15,2994662744,8355.9557,8464.66,8308.79,8393.18,-122.56,-1.44,0.0,0.0,,,,,,
2020-04-16,3609555805,8479.1061,8560.1639,8393.27,8532.36,139.19,1.66,0.0,0.0,,,,,,
2020-04-17,3915690406,8667.4801,8670.3035,8531.6881,8650.14,117.78,1.38,0.0,0.0,,,,,,
2020-04-20,3478380911,8553.375,8684.9125,8553.375,8560.73,-89.41,-1.03,0.0,0.0,,,,,,
2020-04-21,3365024791,8460.6904,8480.2939,8215.87,8263.23,-297.5,-3.48,0.0,0.0,,,,,,
2020-04-22,2774757827,8434.5477,8537.31,8404.54,8495.38,232.15,2.81,0.0,0.0,,,,,,
2020-04-23,3443452081,8528.8426,8635.2246,8475.2,8494.75,-0.63,-0.01,0.0,0.0,,,,,,
2020-04-24,3401803941,8530.076,8642.9344,8464.42,8634.52,139.77,1.65,0.0,0.0,,,,,,
2020-04-27,3378037669,8717.9816,8754.57,8697.37,8730.16,95.64,1.11,0.0,0.0,,,,,,
2020-04-28,3386591855,8825.6848,8830.57,8600.6984,8607.73,-122.43,-1.4,0.0,0.0,,,,,,
2020-04-29,4056599866,8802.7022,8957.2649,8765.0096,8914.71,306.98,3.57,0.0,0.0,,,,,,
2020-04-30,3974448935,8911.0148,8926.11,8825.83,8889.55,-25.16,-0.28,0.0,0.0,,,,,,
2020-05-01,3387914960,8681.2906,8754.46,8566.8382,8604.95,-284.6,-3.2,0.0,0.0,,,,,,
2020-05-04,3171320409,8555.3173,8715.82,8537.8286,8710.71,105.77,1.23,0.0,0.0,,,,,,
2020-05-05,3640114405,8809.6588,8909.9635,8781.3067,8809.12,98.41,1.13,0.0,0.0,,,,,,
2020-05-06,3341653506,8874.6963,8933.2531,8819.37,8854.39,45.27,0.51,0.0,0.0,,,,,,
2020-05-07,3493070537,8973.7801,9015.9905,8932.85,8979.66,125.27,1.41,0.0,0.0,,,,,,
2020-05-08,3526932481,9056.892,9125.9814,9018.21,9121.32,141.66,1.58,0.0,0.0,,,,,,
2020-05-11,3610895275,9054.914,9241.92,9053.17,9192.34,71.02,0.78,0.0,0.0,,,,,,
2020-05-12,3983730215,9225.1449,9250.9621,9000.06,9002.55,-189.79,-2.06,0.0,0.0,,,,,,
2020-05-13,3823878852,9006.0454,9074.16,8752.6797,8863.17,-139.38,-1.55,0.0,0.0,,,,,,
2020-05-14,3591215327,8788.0438,8945.7143,8705.25,8943.72,80.55,0.91,0.0,0.0,,,,,,
2020-05-15,3911832485,8839.9901,9018.4,8821.3783,9014.56,70.84,0.79,0.0,0.0,,,,,,
2020-05-18,4026828571,9177.1534,9267.22,9154.35,9234.83,220.27,2.44,0.0,0.0,,,,,,
2020-05-19,3882015491,9227.46,9317.25,9183.2466,9185.1,-49.72,-0.54,0.0,0.0,,,,,,
2020-05-20,4009950733,9305.6208,9392.82,9304.1994,9375.78,190.67,2.08,0.0,0.0,,,,,,
2020-05-21,3429781547,9375.1902,9405.2533,9254.8459,9284.88,-90.9,-0.97,0.0,0.0,,,,,,
2020-05-22,3420101986,9278.5474,9328.2826,9239.41,9324.59,39.71,0.43,0.0,0.0,,,,,,
2020-05-26,4144522628,9501.2122,9501.2122,9333.16,9340.22,15.63,0.17,0.0,0.0,,,,,,
2020-05-27,4102636351,9346.1165,9414.62,9144.2783,9412.36,72.14,0.77,0.0,0.0,,,,,,
2020-05-28,3728777444,9392.994,9523.6435,9345.28,9368.99,-43.37,-0.46,0.0,0.0,,,,,,
2020-05-29,4327002025,9382.3456,9505.55,9324.7258,9489.87,120.88,1.29,0.0,0.0,,,,,,
2020-06-01,3543478808,9471.4189,9571.28,9462.317,9552.05,62.18,0.66,0.0,0.0,,,,,,
2020-06-02,3649706978,9566.5274,9611.2206,9472.08,9608.37,56.33,0.59,0.0,0.0,,,,,,
2020-06-03,4303387803,9651.8623,9707.78,9627.1754,9682.91,74.54,0.78,0.0,0.0,,,,,,
2020-06-04,5723542739,9649.6534,9716.1407,9560.41,9615.81,-67.1,-0.69,0.0,0.0,,,,,,
2020-06-05,6173027117,9703.5403,9845.69,9685.3498,9814.08,198.27,2.06,0.0,0.0,,,,,,
2020-06-08,5750956524,9823.4414,9927.13,9780.61,9924.74,110.66,1.13,0.0,0.0,,,,,,
2020-06-09,4907712576,9867.1863,10002.5024,9863.27,9953.75,29.01,0.29,0.0,0.0,,,,,,
2020-06-10,4711757575,10012.3164,10086.89,9962.5767,10020.35,66.59,0.67,0.0,0.0,,,,,,
2020-06-11,4748933106,9791.2353,9868.0804,9491.305,9492.73,-527.62,-5.27,0.0,0.0,,,,,,
2020-06-12,3863841306,9715.8694,9768.64,9413.62,9588.81,96.08,1.01,0.0,0.0,,,,,,
2020-06-15,4068733668,9426.8983,9756.07,9403.0,9726.02,137.21,1.43,0.0,0.0,,,,,,
2020-06-16,4191591166,9949.7836,9963.63,9748.38,9895.87,169.84,1.75,0.0,0.0,,,,,,
2020-06-17,3943423645,9943.3137,9991.21,9891.8077,9910.53,14.66,0.15,0.0,0.0,,,,,,
2020-06-18,4036745421,9892.4763,9959.2,9885.66,9943.05,32.52,0.33,0.0,0.0,,,,,,
2020-06-19,5727275113,10042.1257,10053.91,9872.94,9946.12,3.07,0.03,0.0,0.0,,,,,,
2020-06-22,4211582775,9945.4925,10059.61,9916.5988,10056.47,110.35,1.11,0.0,0.0,,,,,,
2020-06-23,5426893323,10130.8274,10221.85,10112.4361,10131.37,74.89,0.74,0.0,0.0,,,,,,
2020-06-24,5102486798,10092.9228,10137.5013,9842.22,9909.17,-222.2,-2.19,0.0,0.0,,,,,,
2020-06-25,4367631882,9899.3593,10023.28,9810.4691,10017.0,107.84,1.09,0.0,0.0,,,,,,
2020-06-26,6900733353,9995.1238,10000.67,9749.0658,9757.22,-259.78,-2.59,0.0,0.0,,,,,,
2020-06-29,3959662464,9771.72,9875.47,9663.6086,9874.15,116.93,1.2,0.0,0.0,,,,,,
2020-06-30,4118667011,9875.2852,10085.59,9863.6679,10058.77,184.61,1.87,0.0,0.0,,,,,,
2020-07-01,4241341782,10063.6711,10197.19,10048.04,10154.63,95.86,0.95,0.0,0.0,,,,,,
2020-07-02,3715597440,10268.6697,10310.3639,10194.0591,10207.63,53.0,0.52,0.0,0.0,,,,,,
2020-07-06,4202977021,10360.3796,10462.05,10354.98,10433.65,226.02,2.21,0.0,0.0,,,,,,
2020-07-07,3999953794,10412.4635,10518.9801,10337.98,10343.89,-89.76,-0.86,0.0,0.0,,,,,,
2020-07-08,3706440038,10409.3509,10494.6346,10350.96,10492.5,148.61,1.44,0.0,0.0,,,,,,
2020-07-09,3646772790,10563.7234,10578.1007,10379.9066,10547.75,55.25,0.53,0.0,0.0,,,,,,
2020-07-10,3223929164,10545.9117,10622.3509,10447.0096,10617.44,69.69,0.66,0.0,0.0,,,,,,
2020-07-13,4381377237,10729.9222,10824.7848,10370.04,10390.84,-226.6,-2.13,0.0,0.0,,,,,,
2020-07-14,3914893053,10310.2543,10497.8343,10182.46,10488.58,97.73,0.94,0.0,0.0,,,,,,
2020-07-15,4223918438,10576.7185,10604.67,10420.539,10550.49,61.91,0.59,0.0,0.0,,,,,,
2020-07-16,3906747887,10443.8732,10499.79,10364.39,10473.83,-76.66,-0.73,0.0,0.0,,,,,,
2020-07-17,4053371184,10500.5242,10532.6212,10421.2054,10503.19,29.36,0.28,0.0,0.0,,,,,,
2020-07-20,3978198540,10526.0203,10783.8024,10488.0377,10767.09,263.9,2.51,0.0,0.0,,,,,,
2020-07-21,4977651979,10837.8799,10839.93,10650.46,10680.36,-86.73,-0.81,0.0,0.0,,,,,,
2020-07-22,3786396213,10687.5811,10745.321,10627.45,10706.13,25.76,0.24,0.0,0.0,,,,,,
2020-07-23,4075309966,10689.5025,10728.12,10407.87,10461.42,-244.71,-2.29,0.0,0.0,,,,,,
2020-07-24,3781836967,10294.4059,10418.75,10217.31,10363.18,-98.24,-0.94,0.0,0.0,,,,,,
2020-07-27,3925910745,10421.7024,10546.44,10399.86,10536.27,173.09,1.67,0.0,0.0,,,,,,
2020-07-28,3622904723,10509.1964,10523.6401,10397.87,10402.09,-134.18,-1.27,0.0,0.0,,,,,,
