时间,成交量,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,换手率,成交额,市盈率,市净率,市销率,市现率,市值,资金流向
2020-03-02,2760000,0.25,0.27,0.25,0.27,0.01,3.85,0.02,69000.0,-11.3144,,5.4273,-2.566,386181745.2,
2020-03-03,310000,0.26,0.26,0.26,0.26,-0.01,-3.7,0.0,8060.0,-10.8953,,5.2263,-2.4709,371878717.6,
2020-03-04,2940000,0.25,0.25,0.23,0.23,-0.03,-11.54,0.02,70560.0,-9.6382,,4.6233,-2.1858,328969634.8,
2020-03-05,1840000,0.24,0.26,0.24,0.26,0.03,13.04,0.01,44160.0,-10.8953,,5.2263,-2.4709,371878717.6,
2020-03-06,320000,0.23,0.26,0.23,0.26,0.0,0.0,0.0,8000.0,-10.8953,,5.2263,-2.4709,371878717.6,
2020-03-10,2050000,0.25,0.25,0.22,0.22,-0.02,-8.33,0.01,51250.0,-9.2191,,4.4223,-2.0908,314666607.2,
2020-03-11,14470000,0.26,0.26,0.2,0.22,0.0,0.0,0.1,303870.0,-9.2191,,4.4223,-2.0908,314666607.2,
2020-03-12,2490000,0.2,0.22,0.2,0.2,-0.02,-9.09,0.02,49800.0,-8.381,,4.0202,-1.9007,286060552.0,
2020-03-13,3590000,0.19,0.23,0.18,0.23,0.03,15.0,0.03,75390.0,-9.6382,,4.6233,-2.1858,328969634.8,
2020-03-16,140000,0.22,0.22,0.2,0.22,-0.01,-4.35,0.0,2940.0,-9.2191,,4.4223,-2.0908,314666607.2,
2020-03-17,1630000,0.22,0.24,0.2,0.24,0.02,9.09,0.01,34230.0,-10.0572,,4.8243,-2.2809,343272662.4,
2020-03-18,3170000,0.21,0.21,0.2,0.21,-0.03,-12.5,0.02,63400.0,-8.8001,,4.2213,-1.9957,300363579.6,
2020-03-19,2930000,0.18,0.21,0.18,0.2,-0.01,-4.76,0.02,58600.0,-8.381,,4.0202,-1.9007,286060552.0,
2020-03-20,500000,0.19,0.21,0.19,0.2,0.0,0.0,0.0,9500.0,-8.381,,4.0202,-1.9007,286060552.0,
2020-03-23,2740000,0.18,0.21,0.17,0.2,0.0,0.0,0.02,52060.0,-8.381,,4.0202,-1.9007,286060552.0,
2020-03-24,3240000,0.18,0.21,0.18,0.21,0.01,5.0,0.02,58320.0,-8.8001,,4.2213,-1.9957,300363579.6,
2020-03-25,560000,0.19,0.2,0.19,0.19,-0.02,-9.52,0.0,10640.0,-7.962,,3.8192,-1.8057,271757524.4,
2020-04-09,38000,0.16,0.16,0.16,0.16,-0.015,-8.57,0.0,6080.0,-6.7048,,3.2162,-1.5206,228848441.6,
2020-04-14,41000,0.16,0.16,0.15,0.15,-0.01,-6.25,0.0,6560.0,-6.2858,,3.0152,-1.4255,214545414.0,
2020-04-15,147000,0.15,0.17,0.15,0.157,0.007,4.67,0.01,22197.0,-6.5791,,3.1559,-1.4921,224557533.32,
2020-04-16,75000,0.15,0.185,0.15,0.184,0.027,17.2,0.01,12825.0,-7.7105,,3.6986,-1.7487,263175707.84,
2020-04-17,163000,0.185,0.185,0.152,0.171,-0.013,-7.07,0.01,29503.0,-7.1658,,3.4373,-1.6251,244581771.96,
2020-04-20,23000,0.155,0.18,0.155,0.155,-0.016,-9.36,0.0,3841.0,-6.4953,,3.1157,-1.473,221696927.8,
2020-04-22,381000,0.155,0.17,0.15,0.17,0.015,9.68,0.03,60198.0,-7.1239,,3.4172,-1.6156,243151469.2,
2020-04-23,134000,0.174,0.175,0.17,0.17,0.0,0.0,0.01,23316.0,-7.1239,,3.4172,-1.6156,243151469.2,
2020-04-24,103000,0.2,0.2,0.175,0.2,0.03,17.65,0.01,19776.0,-8.381,,4.0202,-1.9007,286060552.0,
2020-04-27,10000,0.22,0.22,0.22,0.21,0.01,5.0,0.0,2200.0,-8.8001,,4.2213,-1.9957,300363579.6,
2020-04-28,307000,0.2,0.215,0.2,0.203,-0.007,-3.33,0.02,63242.0,-8.5067,,4.0805,-1.9292,290351460.28,
2020-04-29,48000,0.2,0.215,0.2,0.2,-0.003,-1.48,0.0,10128.0,-8.381,,4.0202,-1.9007,286060552.0,
2020-05-04,20000,0.22,0.22,0.218,0.218,0.018,9.0,0.0,4400.0,-9.1353,,4.3821,-2.0718,311806001.68,
2020-05-05,114000,0.238,0.238,0.225,0.231,0.013,5.96,0.01,25992.0,-9.6801,,4.6434,-2.1953,330399937.56,
2020-05-06,92000,0.24,0.24,0.19,0.206,-0.025,-10.82,0.01,19228.0,-8.6324,,4.1409,-1.9577,294642368.56,
2020-05-07,70000,0.2,0.238,0.2,0.21,0.004,1.94,0.0,16170.0,-8.8001,,4.2213,-1.9957,300363579.6,
2020-05-08,10000,0.23,0.23,0.23,0.23,0.02,9.52,0.0,2300.0,-9.6382,,4.6233,-2.1858,328969634.8,
2020-05-11,153000,0.225,0.237,0.225,0.23,0.0,0.0,0.01,35037.0,-9.6382,,4.6233,-2.1858,328969634.8,
2020-05-12,120000,0.212,0.212,0.21,0.21,-0.02,-8.7,0.01,25440.0,-8.8001,,4.2213,-1.9957,300363579.6,
2020-05-13,230000,0.228,0.237,0.206,0.236,0.026,12.38,0.02,52670.0,-9.8896,,4.7439,-2.2428,337551451.36,
2020-05-14,20000,0.235,0.235,0.235,0.235,-0.001,-0.42,0.0,4700.0,-9.8477,,4.7238,-2.2333,336121148.6,
2020-05-15,242000,0.235,0.237,0.235,0.237,0.002,0.85,0.02,56870.0,-9.9315,,4.764,-2.2523,338981754.12,
2020-05-18,20000,0.237,0.246,0.237,0.246,0.009,3.8,0.0,4740.0,-10.3086,,4.9449,-2.3379,351854478.96,
2020-05-19,459000,0.246,0.249,0.236,0.248,0.002,0.81,0.03,113373.0,-10.3924,,4.9851,-2.3569,354715084.48,
2020-05-20,258000,0.248,0.25,0.23,0.23,-0.018,-7.26,0.02,61662.0,-9.6382,,4.6233,-2.1858,328969634.8,
2020-05-21,13000,0.249,0.249,0.249,0.248,0.018,7.83,0.0,3237.0,-10.3924,,4.9851,-2.3569,354715084.48,
2020-05-22,1000,0.24,0.24,0.24,0.24,-0.008,-3.23,0.0,0.0,-10.0572,,4.8243,-2.2809,343272662.4,
2020-05-25,110000,0.249,0.249,0.249,0.249,0.009,3.75,0.01,27390.0,-10.4344,,5.0052,-2.3664,356145387.24,
2020-05-26,693000,0.25,0.26,0.25,0.25,0.001,0.4,0.05,177408.0,-10.4763,,5.0253,-2.3759,357575690.0,
2020-05-27,30000,0.25,0.26,0.25,0.255,0.005,2.0,0.0,7680.0,-10.6858,,5.1258,-2.4234,364727203.8,
2020-05-28,154000,0.26,0.26,0.23,0.23,-0.025,-9.8,0.01,37268.0,-9.6382,,4.6233,-2.1858,328969634.8,
2020-05-29,31000,0.255,0.255,0.235,0.235,0.005,2.17,0.0,7905.0,-9.8477,,4.7238,-2.2333,336121148.6,
2020-06-01,35000,0.23,0.23,0.23,0.235,0.0,0.0,0.0,8050.0,-9.8477,,4.7238,-2.2333,336121148.6,
2020-06-02,35000,0.22,0.22,0.22,0.22,-0.015,-6.38,0.0,7700.0,-9.2191,,4.4223,-2.0908,314666607.2,
2020-06-03,177000,0.22,0.255,0.206,0.255,0.035,15.91,0.01,38586.0,-10.6858,,5.1258,-2.4234,364727203.8,
2020-06-04,10000,0.246,0.246,0.246,0.246,-0.009,-3.53,0.0,0.0,-10.3086,,4.9449,-2.3379,351854478.96,
2020-06-05,12000,0.24,0.24,0.24,0.24,-0.006,-2.44,0.0,2880.0,-10.0572,,4.8243,-2.2809,343272662.4,
2020-06-08,2000,0.234,0.234,0.234,0.234,-0.006,-2.5,0.0,0.0,-9.8058,,4.7037,-2.2238,334690845.84,
2020-06-09,25000,0.243,0.25,0.243,0.25,0.016,6.84,0.0,6150.0,-10.4763,,5.0253,-2.3759,357575690.0,
2020-06-10,30000,0.22,0.238,0.22,0.237,-0.013,-5.2,0.0,6780.0,-9.9315,,4.764,-2.2523,338981754.12,
2020-06-11,10000,0.243,0.243,0.243,0.233,-0.004,-1.69,0.0,2430.0,-9.7639,,4.6836,-2.2143,333260543.08,
2020-06-12,32000,0.22,0.22,0.22,0.219,-0.014,-6.01,0.0,7040.0,-9.1772,,4.4022,-2.0813,313236304.44,
2020-06-15,20000,0.21,0.23,0.21,0.23,0.011,5.02,0.0,4200.0,-9.6382,,4.6233,-2.1858,328969634.8,
2020-06-16,25000,0.21,0.21,0.21,0.21,-0.02,-8.7,0.0,5250.0,-8.8001,,4.2213,-1.9957,300363579.6,
2020-06-17,210000,0.209,0.23,0.209,0.23,0.02,9.52,0.01,44310.0,-9.6382,,4.6233,-2.1858,328969634.8,
2020-06-19,14000,0.211,0.211,0.211,0.211,-0.019,-8.26,0.0,2954.0,-8.842,,4.2414,-2.0052,301793882.36,
2020-06-23,31000,0.21,0.211,0.21,0.211,0.0,0.0,0.0,6510.0,-8.842,,4.2414,-2.0052,301793882.36,
2020-06-24,31000,0.2,0.23,0.2,0.211,0.0,0.0,0.0,6665.0,-8.842,,4.2414,-2.0052,301793882.36,
2020-06-26,14000,0.23,0.23,0.23,0.229,0.018,8.53,0.0,3220.0,-9.5963,,4.6032,-2.1763,327539332.04,
2020-06-30,8000,0.22,0.22,0.22,0.22,-0.009,-3.93,0.0,0.0,-4.3386,,5.5181,-1.0719,314666607.2,
2020-07-02,112000,0.21,0.255,0.21,0.239,0.019,8.64,0.01,26432.0,-4.7132,,5.9947,-1.1645,341842359.64,
2020-07-03,50000,0.23,0.24,0.215,0.215,-0.024,-10.04,0.0,11750.0,-4.2399,,5.3927,-1.0475,307515093.4,
2020-07-06,140000,0.238,0.238,0.209,0.235,0.02,9.3,0.01,29820.0,-4.6344,,5.8944,-1.145,336121148.6,
2020-07-07,21000,0.215,0.215,0.205,0.205,-0.03,-12.77,0.0,4515.0,-4.0427,,5.1419,-0.9988,293212065.8,
2020-07-08,23000,0.22,0.22,0.22,0.22,0.015,7.32,0.0,5060.0,-4.3386,,5.5181,-1.0719,314666607.2,
2020-07-09,680000,0.206,0.227,0.166,0.2,-0.02,-9.09,0.05,127160.0,-3.9441,,5.0165,-0.9744,286060552.0,
2020-07-10,30000,0.18,0.22,0.18,0.22,0.02,10.0,0.0,5790.0,-4.3386,,5.5181,-1.0719,314666607.2,
2020-07-14,206000,0.219,0.23,0.19,0.205,-0.015,-6.82,0.01,44290.0,-4.0427,,5.1419,-0.9988,293212065.8,
2020-07-20,28000,0.22,0.255,0.22,0.24,0.04,20.0,0.0,6636.0,-4.733,,6.0198,-1.1693,343272662.4,
2020-07-22,2000,0.237,0.237,0.237,0.237,0.0,0.0,0.0,0.0,-4.6738,,5.9445,-1.1547,338981754.12,
2020-07-23,109000,0.191,0.219,0.191,0.219,-0.018,-7.59,0.01,21146.0,-4.3188,,5.4931,-1.067,313236304.44,
2020-07-27,37000,0.21,0.21,0.21,0.21,-0.009,-4.11,0.0,7770.0,-4.1413,,5.2673,-1.0232,300363579.6,
2020-07-28,6000,0.21,0.21,0.21,0.21,0.0,0.0,0.0,0.0,-4.1413,,5.2673,-1.0232,300363579.6,
2020-07-30,50000,0.18,0.202,0.18,0.18,-0.03,-14.29,0.0,9400.0,-3.5497,,4.5148,-0.877,257454496.8,
2020-07-31,100000,0.217,0.217,0.171,0.18,0.0,0.0,0.01,19400.0,-3.5497,,4.5148,-0.877,257454496.8,
2020-08-05,100000,0.199,0.2,0.199,0.199,0.019,10.56,0.01,19900.0,-3.9244,,4.9914,-0.9696,284630249.24,
2020-08-06,162000,0.195,0.215,0.19,0.215,0.016,8.04,0.01,33372.0,-4.2399,,5.3927,-1.0475,307515093.4,
2020-08-10,32000,0.189,0.215,0.189,0.215,0.0,0.0,0.0,6048.0,-4.2399,,5.3927,-1.0475,307515093.4,
2020-08-11,60000,0.19,0.215,0.189,0.215,0.0,0.0,0.0,11340.0,-4.2399,,5.3927,-1.0475,307515093.4,
2020-08-12,56000,0.21,0.21,0.21,0.21,-0.005,-2.33,0.0,11760.0,-4.1413,,5.2673,-1.0232,300363579.6,
2020-08-13,40000,0.22,0.22,0.22,0.22,0.01,4.76,0.0,8800.0,-4.3386,,5.5181,-1.0719,314666607.2,
2020-08-14,31000,0.218,0.23,0.218,0.23,0.01,4.55,0.0,6882.0,-4.5358,,5.769,-1.1206,328969634.8,
2020-08-18,1391000,0.202,0.214,0.192,0.205,-0.025,-10.87,0.1,282373.0,-4.0427,,5.1419,-0.9988,293212065.8,
2020-08-19,30000,0.22,0.22,0.205,0.215,0.01,4.88,0.0,6360.0,-4.2399,,5.3927,-1.0475,307515093.4,
2020-08-21,60000,0.215,0.215,0.198,0.21,-0.005,-2.33,0.0,12120.0,-4.8855,,6.2138,-1.207,354333579.6,
2020-08-24,30000,0.213,0.22,0.213,0.22,0.01,4.76,0.0,6390.0,-5.1181,,6.5097,-1.2645,371206607.2,
2020-08-25,3000,0.22,0.22,0.22,0.22,0.0,0.0,0.0,0.0,-5.1181,,6.5097,-1.2645,371206607.2,
2020-08-26,26000,0.201,0.219,0.201,0.219,-0.001,-0.45,0.0,5460.0,-5.0949,,6.4801,-1.2587,369519304.44,
2020-08-27,100000,0.255,0.255,0.201,0.219,0.0,0.0,0.01,21700.0,-5.0949,,6.4801,-1.2587,369519304.44,
2020-08-28,541000,0.201,0.201,0.185,0.185,-0.034,-15.53,0.03,100085.0,-4.3039,,5.474,-1.0633,312151010.6,
2020-08-31,20000,0.209,0.209,0.209,0.209,0.024,12.97,0.0,4180.0,-4.8622,,6.1842,-1.2013,352646276.84,
2020-09-01,1370000,0.196,0.202,0.163,0.199,-0.01,-4.78,0.08,238380.0,-4.6296,,5.8883,-1.1438,335773249.24,
2020-09-02,70000,0.173,0.192,0.173,0.192,-0.007,-3.52,0.0,12600.0,-4.4667,,5.6812,-1.1036,323962129.92,
2020-09-03,52000,0.18,0.192,0.18,0.192,0.0,0.0,0.0,9672.0,-4.4667,,5.6812,-1.1036,323962129.92,
2020-09-04,2000,0.193,0.193,0.193,0.193,0.001,0.52,0.0,0.0,-4.49,,5.7107,-1.1093,325649432.68,
2020-09-07,48000,0.2,0.2,0.195,0.195,0.002,1.04,0.0,9504.0,-4.5365,,5.7699,-1.1208,329024038.2,
2020-09-08,35000,0.2,0.2,0.2,0.185,-0.01,-5.13,0.0,7000.0,-4.3039,,5.474,-1.0633,312151010.6,
2020-09-09,200000,0.182,0.199,0.182,0.199,0.014,7.57,0.01,39400.0,-4.6296,,5.8883,-1.1438,335773249.24,
2020-09-11,3000,0.199,0.199,0.199,0.199,0.0,0.0,0.0,0.0,-4.6296,,5.8883,-1.1438,335773249.24,
2020-09-15,10000,0.182,0.182,0.182,0.182,-0.017,-8.54,0.0,1820.0,-4.2341,,5.3853,-1.0461,307089102.32,
2020-09-16,30000,0.182,0.182,0.175,0.18,-0.002,-1.1,0.0,5340.0,-4.1875,,5.3261,-1.0346,303714496.8,
2020-09-18,10000,0.188,0.188,0.188,0.188,0.008,4.44,0.0,1880.0,-4.3737,,5.5628,-1.0806,317212918.88,
2020-09-22,10000,0.199,0.199,0.199,0.199,0.011,5.85,0.0,1990.0,-4.6296,,5.8883,-1.1438,335773249.24,
