时间,成交量,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,换手率,成交额,市盈率,市净率,市销率,市现率,市值,资金流向
2023-01-16,9547904000,4138.8433,4148.5838,4118.157,4137.24,-0.724,-0.02,0.33,204381576523.4,,,,,,
2023-01-17,8420064500,4140.1019,4151.4577,4125.7687,4130.31,-6.932,-0.17,0.29,172126171819.2,,,,,,
2023-01-18,9460839800,4125.5772,4156.01,4105.9797,4156.01,25.696,0.62,0.33,192699589774.1,,,,,,
2023-01-19,12355380900,4166.8444,4189.831,4161.6698,4181.53,25.522,0.61,0.43,222342455100.7,,,,,,
2023-01-29,16460706400,4267.6248,4268.1522,4197.8596,4201.35,19.823,0.47,0.57,330193322092.2,,,,,,
2023-01-30,12455083500,4200.5813,4212.7347,4153.0484,4156.86,-44.485,-1.06,0.43,249365321627.1,,,,,,
2023-01-31,14100895400,4170.1322,4195.93,4137.7659,4195.93,39.072,0.94,0.48,265553944709.3,,,,,,
2023-02-01,13382373600,4207.4123,4207.4123,4170.5565,4181.15,-14.783,-0.35,0.46,262497434837.0,,,,,,
2023-02-02,11704122100,4162.0258,4162.0258,4103.1654,4141.63,-39.519,-0.95,0.4,226914770043.9,,,,,,
2023-02-05,11019271700,4103.8307,4105.9445,4065.2224,4086.88,-54.752,-1.32,0.38,226345113968.7,,,,,,
2023-02-06,9136007200,4098.3117,4107.3438,4077.9623,4094.23,7.352,0.18,0.31,183537351577.1,,,,,,
2023-02-07,8478609900,4099.8573,4111.4745,4072.6474,4076.14,-18.093,-0.44,0.29,170591751817.3,,,,,,
2023-02-08,10228996100,4067.5631,4130.86,4064.7489,4130.86,54.719,1.34,0.35,211722604859.2,,,,,,
2023-02-09,9671673300,4124.0986,4125.2893,4092.3472,4106.31,-24.546,-0.59,0.33,195348320573.4,,,,,,
2023-02-12,12889257700,4098.8795,4146.45,4092.2729,4143.57,37.26,0.91,0.44,251990181553.9,,,,,,
2023-02-13,10249989000,4151.247,4152.0487,4125.2583,4145.29,1.716,0.04,0.35,204915435749.9,,,,,,
2023-02-14,12166450800,4146.8547,4153.7159,4115.9671,4123.69,-21.6,-0.52,0.42,219855528966.4,,,,,,
2023-02-15,15931058500,4125.4087,4167.9003,4068.8591,4093.49,-30.199,-0.73,0.55,281315625588.6,,,,,,
2023-02-16,11614258900,4086.2237,4104.6398,4032.9285,4034.51,-58.978,-1.44,0.4,225737746955.0,,,,,,
2023-02-19,16179448100,4039.9623,4134.8623,4035.4762,4133.49,98.983,2.45,0.55,280122962150.4,,,,,,
2023-02-20,14577617300,4130.0632,4151.7994,4116.2716,4144.35,10.86,0.26,0.5,249674201048.2,,,,,,
2023-02-21,10429029500,4118.9669,4134.8759,4101.8596,4106.95,-37.404,-0.9,0.36,191586158991.2,,,,,,
2023-02-22,10356490600,4106.2136,4132.3896,4088.2073,4103.65,-3.301,-0.08,0.36,197193582430.1,,,,,,
2023-02-23,10098942500,4100.9897,4102.6094,4048.2374,4061.05,-42.596,-1.04,0.35,191210465053.2,,,,,,
2023-02-26,9378763000,4040.4571,4067.0296,4034.5237,4043.84,-17.206,-0.42,0.32,187959491145.3,,,,,,
2023-02-27,11032359100,4058.1298,4074.2639,4026.4476,4069.46,25.616,0.63,0.38,198799712379.1,,,,,,
2023-02-28,15601579400,4068.7331,4135.4812,4061.2167,4126.94,57.481,1.41,0.54,255374791015.7,,,,,,
2023-03-01,14821763700,4119.9919,4137.2525,4113.8264,4117.74,-9.202,-0.22,0.51,235953764969.5,,,,,,
2023-03-02,16033174100,4126.0183,4135.2116,4100.3827,4130.55,12.812,0.31,0.55,226914545628.4,,,,,,
2023-03-05,16297180700,4131.1525,4132.8367,4088.4484,4109.01,-21.541,-0.52,0.56,283079861971.5,,,,,,
2023-03-06,19591206800,4103.6419,4124.9609,4046.5679,4048.85,-60.16,-1.46,0.68,272491994009.2,,,,,,
2023-03-07,11793649300,4030.7387,4037.287,4011.5231,4034.11,-14.742,-0.36,0.41,191659655190.9,,,,,,
