时间,成交量,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅,换手率,成交额,市盈率,市净率,市销率,市现率,市值,资金流向
2023-12-27,3164400,15.618,16.1942,15.3836,16.0575,0.3907,2.49,1.78,51347631.0,24.3554,3.4453,3.4844,40.8983,3565937500.56,
2023-12-28,3641800,16.0868,16.458,15.9989,16.458,0.4005,2.49,2.05,60675595.0,24.9628,3.5312,3.5713,41.9183,3654869031.9,
2024-01-01,3209300,16.4384,16.5654,16.331,16.4287,-0.0293,-0.18,1.81,54050560.0,24.9184,3.525,3.5649,41.8437,3648361846.68,
2024-01-02,2568200,16.3603,16.4287,15.8915,16.1747,-0.254,-1.55,1.45,42405885.0,24.5332,3.4705,3.5098,41.1968,3591966241.44,
2024-01-03,1381300,16.2138,16.2138,15.8915,16.0477,-0.127,-0.79,0.78,22628402.0,24.3406,3.4432,3.4823,40.8734,3563768438.82,
2024-01-04,2622840,15.8035,16.1649,15.4324,15.6668,-0.3809,-2.37,1.48,42191716.0,23.7628,3.3615,3.3996,39.9032,3479175030.96,
2024-01-07,2104200,15.5789,15.6375,15.2566,15.3347,-0.3321,-2.12,1.19,33280097.0,23.2591,3.2902,3.3276,39.0574,3405426931.8,
2024-01-08,1564200,15.3836,15.5789,15.2663,15.3933,0.0586,0.38,0.88,24700910.0,23.348,3.3028,3.3403,39.2067,3418441302.24,
2024-01-09,1554966,15.4324,15.4617,15.1101,15.2663,-0.127,-0.83,0.88,24342954.0,23.1554,3.2756,3.3127,38.8833,3390243499.62,
2024-01-10,2061500,15.3152,15.8231,15.1784,15.5887,0.3224,2.11,1.16,32757798.0,23.6443,3.3447,3.3827,39.7042,3461822537.04,
2024-01-11,2958900,15.6766,16.1454,15.5984,15.6277,0.039,0.25,1.67,47935736.0,23.7036,3.3531,3.3912,39.8037,3470498784.0,
2024-01-14,2048060,15.5887,15.9208,15.3933,15.7059,0.0782,0.5,1.15,32938892.0,23.8221,3.3699,3.4081,40.0027,3487851277.92,
2024-01-15,2056399,15.6277,15.8817,15.4129,15.7254,0.0195,0.12,1.16,32858235.0,23.8517,3.3741,3.4123,40.0525,3492189401.4,
2024-01-16,2599200,15.618,15.8035,15.1394,15.5789,-0.1465,-0.93,1.47,41247167.0,23.6295,3.3426,3.3806,39.6793,3459653475.3,
2024-01-17,4849200,15.2859,15.4226,14.5729,15.4226,-0.1563,-1.0,2.73,74104865.0,23.3925,3.3091,3.3466,39.2813,3424948487.46,
2024-01-18,3850400,15.5203,15.5203,14.7975,15.3347,-0.0879,-0.57,2.17,59297966.0,23.2591,3.2902,3.3276,39.0574,3405426931.8,
2024-01-21,4135529,15.0319,15.0808,14.0259,14.4166,-0.9181,-5.99,2.33,61411119.0,21.8666,3.0932,3.1283,36.7189,3201535128.24,
2024-01-22,4449000,14.1626,14.651,13.8403,14.4459,0.0293,0.2,2.51,64395687.0,21.911,3.0995,3.1347,36.7936,3208042313.46,
2024-01-23,2954400,14.524,14.6315,13.9771,14.5729,0.127,0.88,1.67,43459988.0,22.1036,3.1268,3.1622,37.117,3236240116.08,
2024-01-24,2569700,14.524,15.0905,14.3091,14.8464,0.2735,1.88,1.45,38753642.0,22.5184,3.1855,3.2216,37.8135,3296973844.8,
2024-01-25,2848650,14.8757,14.9343,14.524,14.7096,-0.1368,-0.92,1.61,42962865.0,22.311,3.1561,3.1919,37.4652,3266606980.44,
2024-01-28,3389090,14.7096,14.7096,13.7719,14.2701,-0.4395,-2.99,1.91,48910583.0,21.6443,3.0618,3.0965,36.3458,3168999202.14,
2024-01-29,2165700,14.4557,14.524,14.0747,14.231,-0.0391,-0.27,1.22,31718944.0,21.5851,3.0534,3.0881,36.2463,3160322955.18,
2024-01-30,2456660,14.1431,14.4264,13.8208,14.0454,-0.1856,-1.3,1.38,35503574.0,21.3036,3.0136,3.0478,35.7736,3119110782.12,
2024-01-31,2198326,13.9185,14.4947,13.6743,14.1919,0.1465,1.04,1.24,31884036.0,21.5258,3.045,3.0796,36.1467,3151646708.22,
2024-02-01,3254220,14.1236,14.4068,13.0882,13.391,-0.8009,-5.64,1.83,45477452.0,20.311,2.8732,2.9058,34.1068,2973783645.54,
2024-02-04,3291175,13.3226,13.3226,11.838,12.0724,-1.3186,-9.85,1.86,41758187.0,18.311,2.5903,2.6197,30.7484,2680960310.64,
2024-02-05,3108945,12.2287,13.1078,10.7734,12.6487,0.5763,4.77,1.75,39303823.0,19.1851,2.7139,2.7447,32.2161,2808934953.3,
2024-02-06,2743352,12.8929,13.2152,12.2873,12.4045,-0.2442,-1.93,1.55,35781705.0,18.8147,2.6615,2.6917,31.5942,2754708409.8,
2024-02-07,3736300,12.5706,13.645,12.4045,13.5571,1.1526,9.29,2.11,50296156.0,20.5629,2.9088,2.9418,34.5297,3010657695.12,
2024-02-18,3664700,13.8208,14.2505,13.6938,13.9185,0.3614,2.67,2.07,52490957.0,21.111,2.9864,3.0202,35.4502,3090912979.5,
2024-02-19,1979700,13.8305,14.0454,13.6645,13.7915,-0.127,-0.91,1.12,27926548.0,20.9184,2.9591,2.9927,35.1268,3062715176.88,
2024-02-20,2630155,13.5766,14.2212,13.5668,13.9185,0.127,0.92,1.48,37786237.0,21.111,2.9864,3.0202,35.4502,3090912979.5,
2024-02-21,2457447,13.7915,14.2017,13.7915,14.1431,0.2246,1.61,1.39,35326788.0,21.4517,3.0346,3.069,36.0224,3140801399.52,
2024-02-22,3996482,14.1529,14.7975,14.1236,14.778,0.6349,4.49,2.25,59456016.0,22.4147,3.1708,3.2068,37.6394,3281790412.62,
2024-02-25,4579420,15.0026,15.2859,14.7194,14.8366,0.0586,0.4,2.58,70287963.0,22.5036,3.1834,3.2195,37.7887,3294804783.06,
2024-02-26,5110793,15.0417,15.6668,14.7682,15.6668,0.8302,5.6,2.88,80635834.0,23.7628,3.3615,3.3996,39.9032,3479175030.96,
2024-02-27,4909300,15.6375,15.8719,14.485,14.6022,-1.0646,-6.8,2.77,76552630.0,22.148,3.1331,3.1686,37.1916,3242747301.3,
2024-02-28,3567740,14.4068,15.2077,14.3775,15.2077,0.6055,4.15,2.01,54362491.0,23.0665,3.263,3.3,38.734,3377229129.18,
2024-02-29,4256800,15.1491,15.5008,15.0124,15.237,0.0293,0.19,2.4,66388246.0,23.111,3.2693,3.3064,38.8086,3383736314.4,
2024-03-03,5134282,15.9305,16.2431,15.2956,15.7645,0.5275,3.46,2.89,82779950.0,23.911,3.3824,3.4208,40.152,3500865648.36,
2024-03-04,4539053,15.5301,16.2333,15.325,15.7059,-0.0586,-0.37,2.56,73449334.0,23.8221,3.3699,3.4081,40.0027,3487851277.92,
2024-03-05,5273599,15.5789,16.3994,15.5789,16.1356,0.4297,2.74,2.97,86902875.0,24.4739,3.4621,3.5014,41.0973,3583289994.48,
2024-03-06,3684940,16.077,16.3115,15.8035,15.9696,-0.166,-1.03,2.08,60632820.0,24.2221,3.4265,3.4653,40.6744,3546415944.9,
2024-03-07,4618300,16.1161,16.5459,15.8231,16.3701,0.4005,2.51,2.6,76672809.0,24.8295,3.5124,3.5522,41.6944,3635347476.24,
2024-03-10,4489975,16.5752,16.5752,16.1161,16.3701,0.0,0.0,2.53,75071512.0,24.8295,3.5124,3.5522,41.6944,3635347476.24,
2024-03-11,5021300,16.3701,16.4287,16.038,16.331,-0.0391,-0.24,2.83,83593693.0,24.7702,3.504,3.5438,41.5949,3626671229.28,
2024-03-12,10600220,16.2528,17.3175,16.2528,17.2882,0.9572,5.86,5.98,183746621.0,26.2221,3.7094,3.7515,44.0329,3839239279.8,
2024-03-13,19009680,18.1672,18.9389,17.9328,18.3919,1.1037,6.38,10.72,358007354.0,27.8961,3.9462,3.991,46.844,4084343256.42,
2024-03-14,13302980,18.5091,18.6654,17.7375,18.5579,0.166,0.9,7.5,247980182.0,28.148,3.9818,4.027,47.2669,4121217306.0,
2024-03-17,8880865,18.6165,18.7435,18.2161,18.4896,-0.0683,-0.37,5.01,167264278.0,28.0443,3.9671,4.0122,47.0928,4106033873.82,
2024-03-18,14885600,18.724,19.4175,18.2942,19.2905,0.8009,4.33,8.39,290122729.0,29.2591,4.139,4.186,49.1327,4283896936.5,
2024-03-19,11491995,18.9975,19.2417,18.3821,18.5189,-0.7716,-4.0,6.48,220331054.0,28.0887,3.9734,4.0185,47.1674,4112541059.04,
2024-03-20,8701685,18.4798,18.5384,17.9914,18.304,-0.2149,-1.16,4.91,162703002.0,27.7628,3.9273,3.9719,46.6201,4064821700.76,
2024-03-21,5019773,18.2258,18.3626,17.8645,17.9035,-0.4005,-2.19,2.83,92744042.0,27.1554,3.8414,3.885,45.6001,3975890169.42,
2024-03-24,5164320,17.7766,18.2161,17.5324,17.5714,-0.3321,-1.85,2.91,94752072.0,26.6517,3.7702,3.8129,44.7543,3902142070.26,
2024-03-25,7442962,17.8547,18.4798,17.5421,17.8742,0.3028,1.72,4.2,137190969.0,27.111,3.8351,3.8786,45.5255,3969382984.2,
2024-03-26,4795724,17.7375,18.05,17.2784,17.3077,-0.5665,-3.17,2.7,86551245.0,26.2517,3.7136,3.7557,44.0826,3843577403.28,
2024-03-27,7391760,17.3175,18.3333,17.2687,17.884,0.5763,3.33,4.17,135359776.0,27.1258,3.8372,3.8807,45.5504,3971552045.94,
2024-03-28,6414325,17.8645,18.3626,17.7375,18.2649,0.3809,2.13,3.62,119295591.0,27.7036,3.9189,3.9634,46.5206,4056145453.8,
2024-03-31,4907229,18.3626,18.5482,18.0793,18.2845,0.0196,0.11,2.77,91934978.0,27.7332,3.9231,3.9676,46.5703,4060483577.28,
2024-04-01,4499700,18.2845,18.5091,18.05,18.2063,-0.0782,-0.43,2.54,84127712.0,27.6147,3.9064,3.9507,46.3713,4043131083.36,
2024-04-02,3850000,18.3235,18.3919,17.8254,18.3528,0.1465,0.8,2.17,71656908.0,27.8369,3.9378,3.9825,46.7445,4075667009.46,
2024-04-07,5868500,18.3528,18.5775,17.6398,17.7082,-0.6446,-3.51,3.31,108591624.0,21.4107,3.4725,3.2682,25.6772,3932508934.62,
2024-04-08,4198705,17.5714,17.9524,17.4835,17.8059,0.0977,0.55,2.37,75932203.0,21.5288,3.4916,3.2862,25.8188,3954199552.02,
2024-04-09,3175100,17.6789,17.7961,17.2296,17.4445,-0.3614,-2.03,1.79,56709705.0,21.0919,3.4208,3.2195,25.2948,3873944267.64,
2024-04-10,3540400,17.3077,18.1379,17.2882,17.7375,0.293,1.68,2.0,64150409.0,21.4461,3.4782,3.2736,25.7196,3939016119.84,
2024-04-11,2839700,17.7375,18.1282,17.6105,17.7082,-0.0293,-0.17,1.6,51788554.0,21.4107,3.4725,3.2682,25.6772,3932508934.62,
2024-04-14,4006990,17.7766,17.8645,16.9854,17.464,-0.2442,-1.38,2.26,71382689.0,21.1155,3.4246,3.2231,25.3231,3878282391.12,
2024-04-15,4826980,17.464,17.464,16.4287,16.5263,-0.9377,-5.37,2.72,82807809.0,19.9818,3.2407,3.05,23.9635,3670052464.08,
2024-04-16,3951972,16.751,17.5617,16.7217,17.2393,0.713,4.31,2.23,69180974.0,20.8439,3.3805,3.1816,24.9973,3828393971.1,
